CASOS DE PRUEBA PARA LA GENERACIÓN DE CÓDIGOS DE CONTROL VER.7.0												
												
												
#	NRO. AUTORIZACION	NRO. FACTURA	NIT/CI	FECHA	MONTO	LLAVE		5 VERHOEFF	CADENA	SUMATORIA PRODUCTO	BASE64	CODIGO CONTROL
19	200400116727	951089	1703310	2008/07/21	"91,112.00"	yAT){jfC+\%J(YW5\FU@9Yk+DkxU-@U}MfY{B{ZCLv}ZhJ*4Ui25HeB]u9J+i_97	64	14433	200400116727yA95108955T){jf170331010C+\%J2008072137(YW59111286\FU@	"16,557,422"	/ALk	9B-16-EF-DD
20	600400938666	342898	1706717	2007/07/08	"41,789.49"	(r(gIs)D4MVe%f#KeYGA(fbwW_8PPmnLGbI5zWa7J9sVLnX-D)HF*_dKh{(fNcYI	64	69985	600400938666(r(gIs)34289875D4MVe%f#Ke170671762YGA(fbwW_82007070839PPmnLGbI54178918zWa7J9	"12,984,821"	nY7r	C1-29-0E-7A
21	6004006066940	546729	1707752	2008/07/05	"93,800.00"	Qxf-eAD-khxNc9cBexV7i7__N%uJDH]wnswvP}y9+QHSnzm}%BsA##FkvIArR7mJ	64	32138	6004006066940Qxf-54672988eAD170775229-k2008070567hxNc93800509cBexV7i7	"18,656,060"	17Aiy	87-07-F7-F9-1C
22	2904008372149	461448	1708952	2008/04/07	"65,934.70"	9GFdP32EQ]DDmiurUn]ipBirBDr68NxKCznqWYI}bd5YAghuwIW9yJ6IS(hVQxXa	64	91106	29040083721499GFdP32EQ]46144871DD170895244mi2008040784u6593528rUn]ipB	"28,475,126"	1idxs	48-7F-17-F8-91
23	6004005567660	468865	0	2007/01/04	"29,830.00"	KiIg[NixgScKtGL5FiM@)tkqV+NVvgw+bE)-DP]AScrdqBGbe@gQt_gnUd{n(Ph3	64	94320	6004005567660KiIg[NixgS46886503cKtGL0475FiM2007010457@)t2983090k	"20,780,682"	1FHQA	74-7A-45-28-6A
24	3004006090485	900609	1733557	2008/11/10	"49,609.00"	8nqpXN$Uv*zSydy(uEez[w{S8)[EFmcNG)#F3jD8hzp@rY]z9-V+rYuEch+m]Zr{	64	76217	30040060904858nqpXN$U90060966v*zSydy173355708(uE2008111064ez4960945[w{S8)[E	"18,049,604"	14sf4	0B-2B-90-FF-E1
25	5004006189239	537761	1734878	2008/07/23	"7,440.00"	{M}DziE(BFwN%(5GasXp*{4=3HVFywS(654ET#M#SI(za$pBm7MRu9v}cRRgPfsF	64	44604	5004006189239{M}Dz53776177iE(BF173487824wN%(5Ga2008072320s744004Xp*{4	"22,390,233"	1LQNP	DA-9C-0C-AF-B5
26	1904006219467	330901	1737086	2007/03/07	"6,118.00"	wTNUHv+$XuFAc9GftQX]G%w7fvVQ{7vR=2%R_+2sxi26mkr3Figf7*rM7stD*gLK	64	62148	1904006219467wTNUHv+33090166$Xu173708697FA2007030766c9Gft611811QX]G%w7fv	"18,091,009"	150m1	9C-7A-11-74-D1
27	7004002698781	441147	1738178	2007/05/13	"63,511.00"	DhMPHpTME7)iWcxL@Ut){q\ZQxn6vzv8YWu4iXdqGzFL[8qK{bCT#pdbP_S]X7Sk	64	05211	7004002698781D44114719hMPHpT173817814ME72007051396)i6351135Wc	"25,252,181"	1WL5L	BD-FE-C0-96-6C
28	2904005747256	41417	1740192	2008/03/19	"13,671.00"	YMM}#Y=*yiY@RHHayLh3r=rdQ39tUmfvEktb@zG-yLb\k#g@V)juY+GxLTnH6Se{	64	87987	2904005747256YMM}#Y=*y4141716iY@RHHay174019216Lh3r=rdQ392008031921tUmfvEktb1367168@zG-yLb\	"12,663,514"	mJhQ	B6-FF-76-8C
29	5004007747635	289893	1743063	2007/10/12	"90,039.90"	W{m3TteFtF5)5tuR5$[({)@9tB}SX]_a]@C==-P*Rd=@4jIC%hmIK_f96gSznWqm	64	62212	5004007747635W{m3Tte28989328FtF1743063145)52007101261tu9004081R5$	"18,933,427"	18EQp	F0-97-81-48-CF
30	1904009486803	999621	1743178	2008/07/07	"33,974.00"	EQupW5)9D2HSzEZg_UhbCxtpd(s9szQ@fPR7QE}Ag7b@(3hZBqYCe4gsFWw8=F8t	64	92507	1904009486803EQupW5)9D299962144HSz174317880EZg_Uh2008070735b3397447Cxtpd(s9	"25,888,716"	1YmVC	CF-CC-38-26-15
31	2004001794676	2288	1743679	2007/09/19	"46,898.00"	b$VI5ZzUyH)HbQ(#tBpmYNayid(eRxwdu*Jp335FsBLV)32E7(zYq])5bJwTGf-b	64	67754	2004001794676b$VI5Zz228817UyH)HbQ(174367973#tBpmYNa2007091978yid(eR4689899xwdu*	"12,411,101"	lM3T	CB-F3-7B-05
32	8004001321855	419944	1744722	2008/05/06	"92,704.00"	VJ2[pR6rTNtM@i7wri*#rHF(Jp$NSM[erp]tGxgF$vv5Zh%C3x%8_9_m-$G@k%E3	64	33417	8004001321855VJ2[41994478pR6r174472298TNtM@2008050670i79270467wri*#rHF	"18,123,111"	158bd	15-F7-6C-8E-89
33	8004006084181	953458	1745006	2007/05/14	"32,520.00"	{pNe-AyC@KV]UJT*BgkAs*vuG[RsIzE_zPM(GpK-)M-iI%yNhgvp%5QBgnGA_{4y	64	12927	8004006084181{p95345802Ne-174500681AyC@KV]UJT2007051417*Bg3252018kAs*vuG[	"20,594,076"	1EZsS	09-2F-06-C7-23
34	1904004797482	450472	1745155	2008/09/17	"94,809.00"	=_Nk%M+@Ru-4U+hbxr7EIh9an%bBUM7I{T78\aYI3Mxeni#r$FprX5+Y)yvRf)HM	64	04702	1904004797482=45047242_Nk%M174515505+@Ru-4U+2008091723h9480955bxr	"31,247,091"	1tChp	55-5A-41-8F-77
35	3904001482532	417295	1745444	2007/08/23	"32,237.00"	+r=\QfT7fhL$UzcHvM4r)MKXcaEN(ZAgg_G76MrEwB95QJ]E=c+LjitNC@NE%bm7	64	02484	3904001482532+41729574r=\174544446QfT7f2007082332hL$UzcHvM32237204r)MK	"24,659,395"	1U4N3	85-4B-DF-9B-CA
36	4004005492942	502952	1745494	2007/01/16	"52,070.00"	8Xy#R(3@u@bhV}A=[KG(v\%Fd9nb-BuS(fCNAbxCk9gpCquTbtVI3d[jeWPH%vRi	64	81829	40040054929428Xy#R(3@u50295214@b174549472hV}A=[KG(2007011692v\%5207074Fd9nb-BuS(	"20,001,061"	1CJ4b	E3-03-F8-FF-AE
37	7004002313140	894854	1745784	2008/07/12	"53,896.00"	6drSYktgTpgyywGYSd_icd*h(TfQxnXWzkzc$NENQE#_Smiu_t+UMRT[-GqFIA}C	64	79315	70040023131406drSYktg89485469TpgyywGYSd174578428_icd2008071274*h5389670(TfQxn	"18,769,490"	17cPI	C7-72-99-1A-59
38	2904004897341	593516	0	2008/11/02	"40,148.00"	X{jR*)TLTGjK\c+bZjvKQZcUM{XBLk(PFTTgyKt(S*W=g4i9I4w]T_4s)2a7aHjf	64	71372	2904004897341X{jR*)TL59351688TG047jK\c2008110207+bZjvKQZ4014875cUM	"15,617,214"	xao+	8B-DF-1A-7B
39	1904001080095	955801	1748022	2008/08/25	"46,844.90"	VE)fQQEi(}#dkibPhiwbZ{=-)N{AQFUdwZZ8vDypnen]HnNd{(iVxLPKa*ppdg6j	64	64281	1904001080095VE)fQQE95580145i(}#d174802204kib2008082590PhiwbZ{=-4684513)N	"18,319,035"	15uQx	48-85-A9-49-84
40	7004003443576	462071	1748695	2008/02/01	"39,317.00"	Rz+gIZG[n3pDdyR[W__yhkvwv#}ytA=gjjEkxvQrE#57T[Qw}tA3CAj6mxP]i2aH	64	79250	7004003443576Rz+gIZG[46207103n3pDdyR[W_174869572_yh2008020123kvwv#}3931784y	"25,135,088"	1VuVm	F2-66-38-63-C1
41	2904001516506	998162	1748964	2008/06/14	"47,880.70"	ZQRBiMAB#Lt]6-7@Qp3T9uu8=5N*=IG#Vx6(erSMu4Lz4(6KWRe9ZGcMTn{WcP$I	64	36270	2904001516506ZQRB99816292iMAB#Lt174896437]6-20080614517@Qp3T9u4788162u	"24,910,678"	1V1jM	C8-16-A7-A4-C1
42	290400123192	451180	1757727	2007/03/23	"27,223.00"	cjd*+][}TZBd6{9\47c$D{#4Zzx-{}LapaFg}ba9E[{VX+#9tz%k5AW{SKrw)FV2	64	72645	290400123192cjd*+][}45118064TZB175772759d6{9\472007032370c$D{#27223514Zzx-{	"14,258,618"	sP6w	49-C0-39-3F
43	7904003040461	40536	1760770	2008/12/26	"40,476.00"	8G$XSiwrBBgwb%6sV@u(L*r(97G$U#U]NqFQEzze6_%Cu[)z@mDQ*7WFLEUwWAjX	64	50541	79040030404618G$XSi4053614w176077003rBBgwb2008122655%6sV@4047622u(	"25,090,224"	1VjYm	A9-41-E0-31-5A
44	8004009978844	486000	1762898	2008/03/05	"66,616.00"	=TfQI$)z4[Y]C29[EdU4]x{D_I$\Kizu4e[e78YG4uY)zhRwSR4WRkpujcQbfpc6	64	26420	8004009978844=Tf48600040QI$)z4[176289837Y]C292008030571[Ed6661600U	"24,090,514"	1RvUI	BE-76-D6-3E-B5
45	3004004334333	615131	1773199	2008/04/29	"22,055.00"	[bm-+3sSXs$#nP#{+M}u+2D+IbwdtnkFi$HRuKV}+rID=RDZ-LCXrUfB}SUdqLf@	64	66215	3004004334333[bm-+3s61513185SXs$#nP177319935#{+2008042944M}2205558u+2D+I	"17,896,236"	14HCi	88-52-A0-A0-6F
46	7904002119288	897629	1774273	2008/12/07	"36,791.00"	]dIg_t3}vYXiVFZr+Bh3U4_\89]BLIRQQvdptu4)IcR}gZhBXZIM2Kr@kCsE]SM5	64	78273	7904002119288]dIg_t3}89762989vYXiVFZr+177427324Bh32008120725U4_\89]B3679121LIRQ	"16,630,508"	/SBi	4D-8F-96-23
47	4004008917944	314531	1778067	2008/03/03	"75,476.00"	*+6CKK3V)(TdiuUseg4*Dg-I634krGjCV2CTMtRnLxe3tw74+hsbBnW)=8w]ZkfK	64	16224	4004008917944*+314531786CKK3V)177806707(Td2008030350iuU7547652seg4*	"19,033,691"	18cvR	3F-21-47-9A-84
48	8004006760938	208888	1779335	2007/10/04	"20,280.70"	pvm_r@$-WR8ndT=5gwn3CMD)vs82F]pIK7=6Bck@d2EX3yz#+ksSpSJTWt_([k9q	64	33820	8004006760938pvm_20888896r@$-177933592WR8ndT=5g2007100408wn32028198C	"23,066,167"	1N/Ot	CC-6F-1E-61-9C
49	1904006721138	869595	1782164	2008/09/17	"49,151.00"	=bSI$iFiU$8fYs+La#H6ie-@e%TQ9EtPDrViD=ebn5F8C=bEXNvZUTeSZug6v-_f	64	10637	1904006721138=b86959588S178216457I$iFiU$20080917238fYs4915103+La#H6ie	"27,171,438"	1dffk	4F-A0-E4-8D-F3
50	1904004530451	160878	1788937	2008/01/15	"81,058.00"	K+vKNM#wJRUgzMecXrPA=Y[Ub8P4w{C+U2G+4fmu_rv-#wJ#(Zi%}vbv_4L4G$gm	64	67581	1904004530451K+vKNM#16087877wJRUgzMe178893732cXrPA=2008011571Y[Ub8P4w{8105898C+	"18,329,184"	15wvW	D2-73-AE-F2-7F
51	39040066108	418133	1789752	2008/03/30	"79,439.00"	Mit{yh76IGkPLv]D}sxjI_DZ2fYQ[eS#piP=xASeuB-VVFFf3Jkpe}}L9BKr7X_-	64	74788	39040066108Mit{yh7641813349IGkPL178975296v]D}sxjI2008033087_DZ2fYQ[e7943965S#piP=xAS	"13,051,721"	noT9	85-7D-87-E8
52	7904006202042	581130	1793163	2007/05/24	"930.00"	IWm#xhSJI2{akMj]_Pqa{79a8CcvV9K{WJNGEHku56NGpXX7bc8eMAFPhAhCqkEn	64	33686	7904006202042IWm#58113094xhSJ179316363I2{akMj2007052482]_Pqa{79a930638CcvV9K	"13,750,667"	qT6B	5C-B2-B6-14
53	2004002221154	655087	1794203	2008/07/02	"46,380.00"	m{T{qiceehniJrGYJ$S(R++yRNL}}9k52#Yw9ynt)Fs++(4Xjj7@iM}$Ip_ms8hf	64	26612	2004002221154m{T65508793{qiceeh179420328niJrGYJ2008070258$S4638059(R+	"17,868,508"	14ARS	58-CF-F8-3D-50
54	2004006949842	354758	1804839	2007/05/04	"62,643.80"	hrp=RS#9ra$SaH3CYL5GDeuMhg(ArHaxH$ic(6@P#Bb+SFGDXM_dsRrAHc{2hN()	64	60463	2004006949842hrp=RS#354758089180483904ra$Sa2007050444H3CYL5G6264417DeuM	"23,618,057"	1Q689	18-A0-70-66-76
55	3004005280817	832360	1804847	2007/08/08	"26,114.00"	ZKWd2dt_X%+wmSgB)XZddWS#FJqP9mGpW=z[3UI784IhT9WuL)4Rtk(nd6+AA_f+	64	37306	3004005280817ZKWd832360462dt_X%+w180484798mSgB2007080886)2611414XZddWS#	"24,067,594"	1RpuA	C0-83-15-FE-F7
56	2004006199963	742006	1805190	2008/08/09	"793.00"	YScj3]ZGgjeyc]7VrZy5NAitjLIbJ][SBGJEhGF7rQ+3C\y3p}q4]jM2mu6K#Sgr	64	90631	2004006199963YScj3]ZGgj74200610e180519055yc]7VrZ2008080955y5NA79318it	"25,511,622"	1XKR6	DF-D4-22-58-A0
57	5004007323651	579744	1807723	2008/12/06	"16,260.90"	Djic(+v6mCDA6c{HXDI+=EUd6#iEfhyrb@F[CEviR}{Skni@I#fVBf{HXCqUTdu8	64	61362	5004007323651Djic(+v579744896m180772398CDA62008120647c{HXDI+1626199=EU	"18,031,786"	14oIg	CE-CA-6A-B8-72
58	5004006643914	775110	1809905	2007/09/19	"56,470.00"	AT%T5N$(3nvZHMiS+%s8Ub$zq9x3ij3P$}nHirE97$=P$JV9HLwD#fRybwUk_$D%	64	85361	5004006643914AT%T5N$(377511076nvZHMi180990550S+%s20070919788Ub$zq95647044x3	"17,328,525"	126cD	B7-98-A1-8B-14
59	1004001641807	620919	1817137	2008/04/30	"93,411.00"	htM[g=a{ga)q$RY5RaVykvI75p3(H{2)]qC_Ntbm$T[}*qveNW{HVE7kRLyxxa*a	64	35307	1004001641807htM[62091974g=a{ga181713739)q$R2008043043Y93411425RaVykvI	"23,872,051"	1R48p	D7-78-11-53-61
60	3904007392228	568731	1821497	2008/05/04	"36,757.60"	vVnCv\_tezBNqd2w9FQYg=ua6WAzdv6MnRFpGG-sddcVXIsZjzFAc8rzzw]Iv{$C	64	94219	3904007392228vVnCv\_tez56873162BNqd2182149781w9F2008050461QY3675852g=ua6WAzdv	"20,455,738"	1E24w	34-6B-AC-3C-8F
61	7904007435019	295898	1824089	2008/11/28	"52,057.00"	MaTA]7Yz=T+JH3{+PLyz8Bs{cQtRyvz]a]NR)Hkfk5vX8@}zHrfU8GGxz7Ys+HtL	64	34978	7904007435019MaTA29589827]7Yz=182408929T+JH3{+PLy2008112860z8Bs{cQt5205719Ryvz]a]NR	"14,330,031"	sgYl	35-78-81-1E
62	2004001483719	951008	1828257	2007/06/27	"5,009.00"	-B\M-hVkpRB@_J{PYa%}X3=wPs]JUjb7cefuCBIYb[Ys{W]R)G9UK-cG*]dKB)qB	64	51367	2004001483719-B\M-h95100866Vk182825781pRB@2007062752_J{PYa%500921}X3=wPs]	"17,329,817"	126wP	AB-9F-8D-54-59
63	7904006547747	685424	1828348	2007/01/18	"35,960.02"	w[TXnSWw7E-3mna$KLY4$M@_hQhBtNhqKImvvqmhTr]A-j=]WMspNS5NI]gQp%WQ	64	67187	7904006547747w[TXnSW68542456w7E-3mna182834887$K2007011824LY4$M@_hQ3596086hBtNhqKI	"17,984,285"	14ciT	CE-FE-D4-32-21
64	2904002017340	72138	1829881	2007/06/14	"13,227.51"	aILQZTnHUqQ+ZC8wt]cnXaqLFk3JeZ65i6)8DPBa4t]Zv7J=K==dsz8p=Lh%+sK}	64	93880	2904002017340aILQZTnHUq7213825Q+ZC1829881368wt]cnXaq2007061407LFk3JeZ651322882i	"26,749,818"	1c2jw	5B-35-CD-88-BE
65	2904006276951	711030	1830992	2007/10/05	"40,784.00"	QynZuJ@=Pwyczim-3%UZ%%3@#V)=rj]Cs$bPFfK[QG@\r{sQnt7tSY-DDcMU+[$@	64	65804	2904006276951QynZuJ@71103074=Pwycz183099235im-3%UZ%%200710055134078479@#V)=	"24,350,565"	1Suzb	D8-D8-79-AF-28
66	2904001369740	423110	1834546	2008/09/07	"26,686.00"	$[7(d8+BbuDWM[N-A\XG_x}LB)U=mr{rE_%aixqhUc3XLuiM}rRPjHW9yZrAxw*p	64	37465	2904001369740$[7(42311024d8+BbuDW183454607M[N-A2008090705\XG_x}L2668623B)U=mr	"14,335,618"	shw2	F5-81-7D-E6
67	4004006254950	641777	1839071	2008/03/21	"23,521.00"	L{IbZ-}h2w]VPX66jHgV+iCHIs]zXgHSbzXHQ9sWSVcmLDD8c63ZFU+dmCM)XD[b	64	69332	4004006254950L{IbZ-}64177781h2w]VPX66j183907163HgV+2008032146iCHI2352109s]z	"16,473,727"	+rv/	ED-FA-71-FC
68	7004008209402	956989	1850373	2008/06/25	"50,719.00"	A8Z@Ee7XTaLxxmgJ}+VGMUghW3F4J$[M(3XGFZEu*77-)W-(AG3IA6Be9n3Wb@sH	64	85086	7004008209402A8Z@Ee7XT95698947aLxxmg185037339J2008062587}+VGMUghW50719183F4J$[M	"25,253,982"	1WLXU	07-78-1B-35-CF
69	4004008613430	267904	1852729	2008/03/07	"24,350.00"	h=KauSCZQ6V_hXWtsjnB$U+udfE8)@$iLWj#_x}_]Vf4NZk]hB@I$6G6SXgiRA4k	64	48836	4004008613430h=Kau26790442SCZQ6V_hX185272954WtsjnB$U+2008030748udfE24350838)@$iLW	"14,440,332"	t5UC	EC-5E-2F-F3
70	4004009447111	300927	1862470	2008/07/10	"60,260.00"	@wpV%*jAmupZTCZ8Kb(szCT6%t$-m\)KV)q7[KA]ykyyzCs(mYn8[%g$YkKjzaT2	64	83437	4004009447111@wpV%*jAm30092705upZT186247083CZ8Kb2008071046(szC6026008T6%t$-m\	"15,311,334"	wQ7c	63-6A-F7-DD
71	2904001659755	654935	1868723	2008/03/11	"69,993.25"	(wVpAxXi5xS8Y}LwkGp{fUEwF+v#++vuPIrQ[Tr8st5QW2vP}[9F%)u4gAb]hDLS	64	91987	2904001659755(wVpAxXi5x65493506S8186872399Y}LwkGp{fU2008031160EwF+v#++v6999301uPIrQ[Tr	"18,340,088"	15zZu	D2-DA-E5-9D-42
72	8004002802124	172727	1869275	2007/04/13	"12,113.80"	F_9Mn{r8$p$)7be#+datLyrEUCf9n=my[Niyib_(_-bGWEDIBY%Z[zih4nTKxN#-	64	61635	8004002802124F_9Mn{r172727358$186927576p$)7be#2007041350+dat1211493LyrEUC	"17,766,009"	13nPv	8B-97-B2-60-AC
73	1004009320170	356498	1871093	2008/05/10	"37,915.60"	CUf4(+sJ-er)w*7uHYPViDTIM7fbkEhmfR-NZq}3[Fpyd8I(wQQ{#wXXZ6dY%J(W	64	11210	1004009320170CU35649857f4187109382(+s2008051086J-3791645e	"24,969,135"	1VF+l	9C-ED-D4-BA-BF
74	8004005896053	159062	1878514	2007/07/12	"41,103.49"	k[n]t6gze5c@a5)_iuvM%e3)kMrj[t{9JFYLs6eW}fB@@JF-=s(CyYpHENdkxb-x	64	54489	8004005896053k[n]t615906295gze5c187851478@a5)_2007071237iuvM%e3)k4110341Mrj[t{9JFY	"14,163,294"	s1rU	16-80-7A-D6
75	3904004773209	600779	1884280	2008/08/08	"18,747.00"	%]eNCCNjhQ_QfuuU[8vyaB)Nf8jX3ak49s2\L)HPxi\y7wviIGK6{64d3AuDk_mp	64	78579	3904004773209%]eNCCNj60077964hQ_QfuuU[1884280298vyaB)2008080827Nf8jX3ak187477349s2\L)HPx	"13,547,038"	phOU	5E-0E-57-14
76	5004001920068	607892	1893182	2007/02/01	"73,935.02"	e*Vw-J@K%tf5yI%U4n@})xQp%_chH#M3}CeatqjuR{D*PC[3vmBb*6*cs-L87KM]	64	94724	5004001920068e*Vw-J@K%t60789251f5yI%189318211U4n@})xQ2007020183p%_7393552chH#M	"16,340,656"	+LQm	56-76-9F-31
77	790400444813	509373	1894761	2007/12/06	"87,136.00"	8ThCwE_Hqtdm32_6dn3*gy_(nF%rMFt@ULy)psMZFFcP8}Pyh)(6IyWvff+\SjG4	64	32515	7904004448138ThC50937324wE_189476169Hqtdm320071206652_87136316dn3*g	"18,075,271"	14yw7	31-26-C5-03-01
78	4004004004723	753271	1895756	2007/10/30	"42,340.00"	BmcD9SL$UX]MPjvvyMm#@9x$8Z%9}[G+eY{{s[[\VveznBgyQDJweE)H6aK6Kby_	64	33416	4004004004723BmcD753271379SL$189575647UX]MP2007103065jv4234031vyMm#@9	"17,732,334"	13fBk	FA-CD-50-5B-19
79	6004008735041	49385	1897202	2007/05/28	"18,189.00"	pqIgLdM]ZR%j-u@4-P)8J9s2GSfuNt)EYrMNrGzw}TCs8v@X{j$LP)g#\xKiGB8_	64	42826	6004008735041pqIgL4938589dM]189720295ZR%j-u@4-2007052827P)81818934J9s2GSf	"16,727,086"	/pmk	E8-CB-BE-46
80	1904004558604	11190	1911013	2008/05/11	"19,030.00"	LH*(s_srfb4JUhM{iTjAA#98[WbUF55f-m{P*}ur)W@TI=Cn+tiBeNEFmMI){vGX	64	46796	1904004558604LH*(s1119069_srfb4J191101304UhM{iTjA2008051126A#98[WbUF519030585f-m{P*	"12,882,595"	n9AZ	ED-79-79-5A
